datetime,saitama,chiba,tokyo,kanagawa,osaka,y_hat
2010-07-01,33803,29212,82482,45517,37825,710.0971862069835
2010-08-01,35256,31783,87133,49706,41413,533.2350871398528
2010-09-01,31980,28756,77213,43596,36110,420.6982236548922
2010-10-01,32706,29043,80585,45612,38887,543.3513983819587
2010-11-01,31160,27132,80747,43414,37032,858.5006873499594
2010-12-01,31297,27652,80661,43202,35803,801.015711148448
2011-01-01,27413,24779,70842,37741,31274,611.7149987173709
2011-02-01,29195,27146,77441,41771,34231,623.1348350830615
2011-03-01,71270,67982,179651,104314,86587,901.5309000304399
2011-04-01,56087,54637,142416,80407,69415,664.0020292559632
2011-05-01,36875,32665,94241,50702,43676,936.6526136761947
2011-06-01,30546,26690,79293,42596,36652,831.4023600163844
2011-07-01,31946,28309,80475,43967,36574,688.367009178239
2011-08-01,36002,30933,88929,49179,42877,836.1300218958365
2011-09-01,31002,27198,75016,41497,34718,543.1983176259762
2011-10-01,33690,28968,82449,46258,39226,694.6232799093893
2011-11-01,30928,25930,77793,42882,35642,828.8606148544525
2011-12-01,29636,26617,78693,43019,36717,733.9554470633918
2012-01-01,26855,23682,69015,36871,32338,651.0177900260667
2012-02-01,30943,27758,81540,43182,36606,833.6895501482638
2012-03-01,71588,67102,182364,104259,83136,1227.6299735973946
2012-04-01,57800,55807,150214,83706,71017,956.2018057949301
2012-05-01,35451,30468,92062,50271,42542,1033.9876894906008
2012-06-01,29259,24541,74922,39897,34182,898.0031860882798
2012-07-01,34395,28762,86041,46538,38943,992.3360222037479
2012-08-01,33272,29237,85500,46076,39811,864.5853304521063
2012-09-01,27957,24047,69294,37773,31478,623.3697812475009
2012-10-01,35604,30902,91246,50359,42346,920.8551623973669
2012-11-01,30068,24534,76377,41263,34465,964.0232456045399
2012-12-01,30177,26030,79425,43401,35785,867.7441617688494
2013-01-01,26820,23233,69997,37163,31406,762.5113352948047
2013-02-01,30212,26891,79138,41843,33195,819.4886000921567
2013-03-01,70618,64671,181237,100161,81824,1651.4371560280063
2013-04-01,62803,59331,161138,88182,76195,1241.8164719591143
2013-05-01,34010,29097,86854,47268,41290,947.4535091783262
2013-06-01,28419,24030,72129,38772,32062,792.1101470334459
2013-07-01,37514,31714,94311,50435,42379,1112.2315223331473
2013-08-01,35087,30259,89821,47334,40948,1047.5868346018003
2013-09-01,32885,28011,82479,44215,36336,898.8960756277918
2013-10-01,35817,31440,93679,49512,42233,1076.7023909300472
2013-11-01,31550,26499,82181,42731,35382,1099.1401968393295
2013-12-01,31751,27249,85561,44174,37069,1167.8559178914536
2014-01-01,30157,25749,78645,39588,33638,1057.560265573274
2014-02-01,33020,27977,85944,43875,36757,1172.433891698742
2014-03-01,79551,73885,206159,109989,91951,2053.6065083374433
2014-04-01,61408,57843,164364,85663,76707,1741.037675309871
2014-05-01,34441,29114,88859,45737,40204,1189.9267397683013
2014-06-01,32209,27249,84211,43519,37066,1129.501359038947
2014-07-01,36261,30381,92145,47508,40311,1239.5355993797682
2014-08-01,33189,28187,83977,44221,36943,994.661878986715
2014-09-01,34159,29162,86704,45561,38256,1028.2974054654053
2014-10-01,35525,30684,90615,47103,41425,1079.6462946517743
2014-11-01,29125,24107,74737,38505,32167,1012.676039999965
2014-12-01,32329,27390,83823,44153,35722,1054.242845583093
2015-01-01,30619,25927,78566,39632,33687,1047.0792608365061
2015-02-01,32462,27960,87514,44750,36613,1211.9534192563804
2015-03-01,82425,77577,220597,116420,94658,2360.00163716321
2015-04-01,62268,57223,163524,85870,75720,1792.6215916255753
2015-05-01,33711,29126,89813,45441,40459,1238.226533309907
2015-06-01,34900,29942,92010,47722,40755,1214.3470612350159
2015-07-01,37105,31409,93097,47949,40926,1184.313497293923
2015-08-01,35351,30038,91669,47446,40760,1213.2989781827307
2015-09-01,37041,33608,96966,48920,42064,1108.026965148926
2015-10-01,38089,33483,101923,50128,44234,1456.2197866170152
2015-11-01,32225,27236,83445,42606,35694,1127.8439580741117
2015-12-01,32629,28242,87743,44843,39004,1193.1043509447284
2016-01-01,29854,26137,78963,39530,33784,1017.5299907419555
2016-02-01,35215,30785,94476,47618,39510,1295.977122232396
2016-03-01,80508,76435,214056,111860,93478,2212.184765726409
2016-04-01,58591,54731,156396,80276,71266,1758.9999146102966
2016-05-01,37001,32027,97200,50077,43825,1270.1633570617607
2016-06-01,33080,29122,86574,44314,37852,1043.040481975159
2016-07-01,35011,29171,88496,44997,38038,1223.3322070132092
2016-08-01,37293,31830,96719,49817,43063,1290.1170912524847
2016-09-01,33151,28245,86038,42381,36471,1230.9653875912238
2016-10-01,35931,30348,91827,46067,39450,1285.076833893612
2016-11-01,32184,27831,85234,42949,36413,1154.0419617608002
2016-12-01,31913,27303,85583,44071,36149,1175.2741674137922
2017-01-01,30911,26780,81579,40943,33851,1087.5886783558406
2017-02-01,33864,29854,90816,45427,37207,1219.7048301903976
2017-03-01,84246,77675,221381,114937,93582,2566.808466150277
